S,E,累计确诊,治愈人数,死亡人数
7029698799.0,412552535.0,22328940.0,117579860.0,3044045.0
7029694883.571433,411939535.2999915,21891690.389195908,118623803.3618164,3054266.3775634766
7029691044.817681,411327375.58124536,21474166.979610883,119647304.023323,3064287.5981395855
7029687279.279591,410716058.0468414,21075439.739683565,120651284.24221838,3074117.691666629
7029683583.661098,410105584.7334721,20694622.548581857,121636622.79450095,3083765.262348247
7029679954.821531,409495957.51939255,20330871.122898135,122604157.02742414,3093238.5087541533
7029676389.768277,408887178.13199383,19983381.04123851,123554684.81551862,3102545.2429717886
7029672885.649784,408279248.1550196,19651385.862083923,124488966.42425816,3111692.908853703
7029669439.748906,407672169.035441,19334155.330519125,125407726.2857301,3120688.599403363
7029666049.476554,407065942.09000736,19030993.66963348,126311654.69046506,3129539.0733400634
7029662712.36565,406460568.5114871,18741237.952595755,127201409.39938469,3138250.7708817045
7029659426.065371,405856049.37461406,18464256.551593672,128077617.1796391,3146829.828782368
7029656188.33565,405252385.6417525,18199447.660009045,128940875.26792772,3155282.0946598677
7029652997.04196,404649578.168295,17946237.884370472,129791752.76472746,3163613.14064681
7029649850.150318,404047627.7078051,17704080.90278903,130630791.96269058,3171828.276397102
7029646745.722547,403446534.91691667,17472456.18673782,131458509.61232048,3179932.561478335
7029643681.911747,402846300.36000246,17250867.783184513,132275398.12788697,3187930.817179051
7029640656.957991,402246924.51362145,17038843.154227253,133081926.73640256,3195827.637758512
7029637669.184212,401648407.7707564,16835932.071518797,133878542.57234849,3203627.4011652935
7029634716.992296,401050750.44485116,16641705.562891997,134665671.72071174,3211334.27924979
7029631798.859354,400453952.77365696,16455754.90872186,135443720.2107737,3218952.247494522
7029628913.334167,399858014.92289734,16277690.6856758,136213074.96297592,3226485.0942850136
7029626059.033805,399262936.98975956,16107141.855614591,136974104.6910782,3233936.429742934
7029623234.640405,398668719.0062212,15943754.897512155,137727160.76172033,3241309.6941421716
7029620438.898092,398075360.94221944,15787192.980362985,138472578.01339844,3248608.1659275317
7029617670.610061,397482862.7086707,15637135.17514194,139210675.53677234,3255834.969354822
7029614928.635781,396891224.1603473,15493275.703972459,139941757.41812968,3262993.0817702007
7029612211.888344,396300445.09861857,15355323.22474638,140666113.44774655,3270085.340545823
7029609519.331927,395710525.27406204,15223000.14952145,141384019.79480195,3277114.4496880104
7029606849.979389,395121464.3889513,15096041.995101657,142095739.65042531,3284082.986133409
7029604202.889964,394533262.0996263,14974196.76428085,142801523.84038186,3290993.4057478663
7029601577.167076,393945918.01875156,14857224.356301807,143501611.40882906,3297848.0490420624
7029598971.956254,393359431.71746767,14744896.005151324,144196230.17451066,3304649.146617274
7029596386.44314,392773802.727441,14636993.744376998,144885597.260689,3311398.824354007
7029593819.851599,392189030.5428165,14533309.897173448,145569919.60005623,3318099.108355644
7029591271.441914,391605114.6220783,14433646.590544827,146249394.41580543,3324751.9296586714
7029588740.509064,391022054.38982207,14337815.292406863,146924209.6799874,3331359.128720505
7029586226.38109,390439849.2384438,14245636.37054526,147594544.55022568,3337922.459695423
7029583728.417533,389858498.52974856,14156938.67239853,148260569.78581148,3344443.5945086
7029581246.007945,389278001.59648323,14071559.124681942,148922448.14415237,3350924.1267377865
7029578778.570474,388698357.74379677,13989342.351915825,149580334.75850213,3357365.575311707
7029576325.550514,388119566.2506312,13910140.31296558,150234377.4978556,3363769.388033836
7029573886.419419,387541626.3710472,13833811.954742976,150884717.30985093,3370136.944939796
