S,E,累计确诊,治愈人数,死亡人数
7029698799.0,412552535.0,22328940.0,117579860.0,3044045.0
7029694883.571433,411939535.2999915,22413662.07010411,118101831.6809082,3054266.3775634766
7029690953.288855,411327467.1100726,22495448.19895093,118625783.86430968,3064526.5378128528
7029687008.667112,410716328.52245116,22574369.755379513,119151647.91827686,3074824.1367808785
7029683050.208539,410106117.64470345,22650496.404354844,119679356.8792333,3085157.863170365
7029679078.40325,409496832.59945256,22723896.147601366,120208845.41212319,3095526.437574214
7029675093.729435,408888471.52405417,22794635.363267522,120740049.77153061,3105928.611714046
7029671096.653644,408281032.5702898,22862778.84464447,121272907.76372613,3116363.1676969873
7029667087.631063,407674513.90406734,22928389.8379615,121807358.70961839,3126828.9172901777
7029663067.10579,407068913.7051286,22991530.079280198,122343343.40858929,3137324.7012125845
7029659035.511093,406464230.1667638,23052259.830508806,122880804.1031916,3147849.3884437005
7029654993.269673,405860461.49553263,23110637.914557785,123419684.44468848,3158401.8755487306
7029650940.793917,405257605.91099244,23166721.74965707,123959929.45941478,3168981.086019872
7029646878.48614,404655661.6454321,23220567.382854972,124501485.51594058,3179585.9696333017
7029642806.738831,404054626.9436127,23272229.522718284,125044300.29301782,3190215.5018214984
7029638725.934882,403454500.062514,23321761.571252596,125588322.74829133,3200868.6830605357
7029634636.447824,402855279.2710873,23369215.65506145,126133503.08775604,3211544.5382719855
7029630538.642043,402256962.8500135,23414642.65576246,126679792.73594259,3222242.1162390853
7029626432.873004,401659549.09146756,23458092.239678144,127227144.30681399,3232960.4890368283
7029622319.487462,401063036.2988881,23499612.886818714,127775511.57535626,3243698.7514756457
7029618198.823669,400467422.7867524,23539251.919173777,128324849.44984671,3254456.020558357
7029614071.211581,399872706.8803569,23577055.52832935,128875113.94478345,3265231.4349500686
7029609936.97305,399278886.91560286,23613068.802426357,129426262.15446058,3276024.1544607175
7029605796.422024,398685961.2387868,23647335.75247623,129978252.22717355,3286833.359539953
7029601649.864731,398093928.2063963,23679899.33804902,130531043.34003967,3297658.2507840674
7029597497.599867,397502786.18491006,23710801.492348917,131084595.6744191,3308498.0484546833
7029593339.918774,396912533.55060333,23740083.14669184,131638870.39192213,3319351.9920089203
7029589177.105614,396323168.6893573,23767784.254399315,132193829.61098847,3330219.339640768
7029585009.437545,395734689.99647325,23793943.81412258,132749436.38402528,3341099.3678333946
7029580837.184885,395147095.87649125,23818599.89261051,133305654.67509027,3351991.3709221347
7029576660.611277,394560384.7430126,23841789.646934584,133862449.33810723,3362894.6606678977
7029572479.973846,393974555.01852703,23863549.346183926,134419786.09560087,3373808.56584075
7029568295.52336,393389605.13424355,23883914.392642945,134977631.51793903,3384732.4318134296
7029564107.504375,392805533.52992535,23902919.342464004,135535953.0030698,3395665.620164554
7029559916.15539,392222338.6537288,23920597.925847117,136094718.75674188,3406607.5082912925
7029555721.708986,391640018.96204585,23936983.066738438,136653897.77319694,3417557.489031274
7029551524.3919735,391058572.9193505,23952106.902059007,137213459.816322,3428514.970293514
7029547324.425525,390477998.9980486,23966000.800474986,137773375.40125173,3439479.374698143
7029543122.025312,389898295.67833126,23978695.380720273,138333615.77640933,3450450.1392247276
7029538917.401639,389319461.44803166,23990220.529482193,138894152.90597573,3461426.714868978
7029534710.759567,388741494.8024854,24000605.41886071,139454959.45277697,3472408.566307645
7029530502.299042,388164394.2443938,24009878.52341127,140016008.7615797,3483395.1715714056
7029526292.215015,387588158.28369063,24018067.636781257,140577274.8427849,3494386.021725555
7029522080.697567,387012785.43741184,24025199.88794972,141138732.35651094,3505380.62055831
7029517867.932017,386438274.2295684,24031301.757079855,141700356.59705567,3516378.4842765485
7029513654.099044,385864623.1910222,24036399.090993468,142262123.4777296,3527379.1412088056
7029509439.374791,385291830.8593645,24040517.118276406,142824009.51605055,3538382.1315153516
7029505223.93098,384719895.7787977,24043680.464023814,143385991.8192915,3549387.0069051874
7029501007.935012,384148816.5000193,24045913.16423374,143948048.07037312,3560393.330359788
7029496791.550075,383578591.58010936,24047238.67985754,144510156.51409268,3571400.675863435
7029492574.935241,383009219.58241963,24047679.9105152,145072295.94368163,3582408.628139981
7029488358.245568,382440699.07646596,24047259.20788363,145634445.68768355,3593416.7823958932
7029484141.632194,381873028.63782305,24045998.388765663,146196585.5971452,3604424.744069424
7029479925.24243,381306206.8480214,24043918.74784745,146758696.03311306,3615432.1285857656
7029475709.219852,380740232.29444695,24041041.07015159,147320757.8544281,3626438.5611180444
7029471493.704395,380175103.570243,24037385.64319334,147882752.40581167,3637443.676354015
7029467278.832433,379610819.2742142,24032972.26884693,148444661.50623545,3648447.1182683185
7029463064.736866,379047378.0107332,24027820.274928886,149006467.43756896,3659448.5399001758
7029458851.547209,378484778.38964874,24021948.526505183,149568152.9334978,3670447.6031363797
7029454639.389666,377923019.0261967,24015375.436928723,150129701.168706,3681443.978499465
7029450428.387213,377362098.54091275,24008118.97861362,150691095.74831682,3692437.34494093
7029446218.659673,376802015.5595469,24000196.693552565,151252320.69758496,3703427.389639392
7029442010.323794,376242768.71298045,23991625.703583393,151813360.4518349,3714413.807803555
7029437803.493322,375684356.63714457,23982422.720410813,152374199.84663913,3725396.302479878
7029433598.279071,375126777.97294074,23972604.055389162,152934824.10823077,3736374.584364832
7029429394.788995,374570031.3661632,23962185.6290719,153495218.8441447,3747348.3716216325
7029425193.128257,374014115.4674231,23951182.980533335,154055370.0340821,3758317.389701347
7029420993.399293,373459028.9320743,23939611.276468117,154615264.0209928,3769281.3711682656
7029416795.701882,372904770.4201411,23927485.320073694,155174887.50237018,3780240.0555294417
7029412600.133205,372351338.59624743,23914819.55972097,155734227.52175424,3791193.1890682937
7029408406.787911,371798732.12954783,23901628.097418215,156293271.46043667,3802140.5246821796
7029404215.758175,371246949.6936598,23887924.697073106,156852007.02936435,3813081.8217238444
7029400027.133758,370695989.96659786,23873722.792557783,157410422.26123562,3824016.84584665
7029395841.002066,370145851.6307093,23859035.495581564,157968505.5027853,3834945.3688534973
7029391657.448206,369596533.3726109,23843875.60337592,158526245.40725353,3845867.1685493505
7029387476.55504,369048033.8831277,23828255.606196202,159083630.9270346,3856782.0285972827
7029383298.40324,368500351.8572326,23812187.69464447,159640651.30650073,3867689.738377951
7029379123.071341,367953485.9939877,23795683.766817704,160197296.07499737,3878590.092852428
7029374950.63579,367407434.996487,23778755.435285546,160753555.0400054,3889482.8924283027
7029370781.170999,366862197.5718003,23761414.033901658,161309418.28046647,3900367.9428289765
7029366614.749392,366317772.4309181,23743670.624452643,161864876.14026776,3911245.0549660777
7029362451.441453,365774158.2886983,23725536.003148425,162419919.22188187,3922114.0448149177
7029358291.315773,365231353.8638139,23707020.706957843,162974538.3801586,3932974.7332929214
7029354134.4390955,364689357.87870145,23688135.019793157,163528724.71626484,3943826.946140955
7029349980.876361,364148169.0595115,23668888.978547096,164082469.57176903,3954670.5138074863
7029345830.690748,363607786.13605934,23649292.378985938,164635764.52286667,3965505.2713355077
7029341683.94372,363068207.84177756,23629354.78150203,165188601.3747436,3976331.0582521576
7029337540.695062,362529432.91366917,23609085.516729176,165740972.1560739,3987147.718460975
7029333401.002923,361991460.09226197,23588493.691024084,166292869.1136488,3997955.100136724
7029329264.923857,361454288.12156403,23567588.191817105,166844284.70713404,4008753.055622727
7029325132.5128565,360917915.7490201,23546377.692835387,167395211.60395202,4019541.4413306513
7029321003.823396,360382341.7254689,23524870.659201458,167945642.67428625,4030320.1176426793
7029316878.907462,359847564.8051015,23503075.352410235,168495570.98620483,4041088.9488160196
7029312757.815597,359313583.7454207,23480999.835187342,169044989.80090046,4051847.8028896935
7029308640.596925,358780397.307201,23458651.976231575,169593892.56804383,4062596.5515935454
7029304527.299193,358248004.25444996,23436039.454844274,170142272.92124796,4073335.070259423
7029300417.9688015,357716403.3543699,23413169.765448302,170690124.67364088,4084063.23773448
7029296312.650835,357185593.3773208,23390050.221999258,171237441.81354362,4094780.936296544
7029292211.389096,356655573.0967841,23366687.962291494,171784218.50025174,4105488.051571507
7029288114.226137,356126341.2893268,23343089.952161454,172330449.05991712,4116184.472452683
7029284021.203287,355597896.73456687,23319262.989590764,172876127.9815283,4126870.091022093
7029279932.360684,355070238.2151394,23295213.708711497,173421249.91298664,4137544.8024736266
7029275847.737303,354543364.51666313,23270948.583715905,173965809.65727597,4148208.5050380393
7029271767.370981,354017274.42770797,23246473.932672918,174509802.1687239,4158861.0999097354
7029267691.298451,353491966.7397633,23221795.921253648,175053222.5493522,4169502.4911753023
7029263619.555363,352967440.2472069,23196920.566368032,175596066.04531413,4180132.585743747
7029259552.176311,352443693.7472744,23171853.739714757,176138328.0434171,4190751.2932784003
7029255489.19486,351920726.0400295,23146601.171246532,176680004.06772804,4201358.5261304425
7029251430.643573,351398535.9283353,23121168.452552732,177221089.77626,4211954.199274018
7029247376.554028,350877122.2178253,23095561.040161353,177761580.9577375,4222538.2302429
7029243326.956848,350356483.7168759,23069784.258762255,178301473.52843952,4233110.539068657
7029239281.881724,349836619.2365792,23043843.30435351,178840763.52911738,4243671.048220312
7029235241.357434,349317527.5907161,23017743.247312732,179379447.12198648,4254219.682545425
7029231205.411867,348799207.59573066,22991489.035395183,179917520.58778974,4264756.369212591
7029227174.072044,348281658.07070416,22965085.496660344,180454980.3229311,4275281.037655307
7029223147.364141,347764877.83733046,22938537.342328724,180991822.8366775,4285793.619517181
7029219125.313507,347248865.7198916,22911849.16957053,181528044.74842748,4296294.048598447
7029215107.944684,346733620.5452338,22885025.464227848,182063642.78504524,4306782.260803755
7029211095.281429,346219141.1427441,22858070.60347188,182598613.7782581,4317258.194091213
7029207087.346731,345705426.34432775,22830988.858396843,183132954.6621161,4327721.788422636
7029203084.162829,345192474.9843855,22803784.396552,183666662.47051248,4338172.9857149925
7029199085.751233,344680285.8997919,22776461.284413293,184199734.33476293,4348611.729793004
7029195092.132738,344168857.9298738,22749023.489796057,184732167.48124304,4359037.966342876
7029191103.327445,343658189.91638964,22721474.884210188,185263959.2290819,4369451.642867136
7029187119.354774,343148280.7035085,22693819.245159134,185795106.98791078,4379852.7086405475
