S,E,累计确诊,治愈人数,死亡人数
7103379438.04254,384880141.95746005,26951623.0,67910637.0,2082339.0
7103378667.790731,384375850.9878271,26953315.286015954,68399200.96673584,2097143.9686889648
7103377897.4906435,383872221.8252543,26954314.206836108,68887795.61028728,2111949.8669784022
7103377127.16209,383369253.5814657,26954633.58073449,69376408.36171736,2126756.313991435
7103376356.824493,382866945.36974597,26954286.96673893,69865026.90257905,2141562.9364417894
7103375586.496886,382365296.3049308,26953287.66947498,70353639.16021587,2156369.36849139
7103374816.197922,381864305.5033978,26951648.743919358,70842233.30315007,2171175.2516106083
7103374045.945879,381363972.0830572,26949383.000064604,71330797.7365573,2185980.2344411304
7103373275.758673,380864295.1633428,26946503.00749661,71819321.09782557,2200783.9726613807
7103372505.653857,380365273.86520314,26943021.09988662,72307792.25219731,2215586.1288544633
7103371735.648635,379866907.311093,26938949.379399348,72796200.28849286,2230386.372378571
7103370965.759862,379369194.6249643,26934299.72101875,73284534.51491386,2245184.3792398134
7103370196.004055,378872134.9322581,26929083.77679298,73772784.454925,2259979.8319674237
7103369426.397398,378375727.35989624,26923312.980000068,74260939.84321281,2274772.4194912966
7103368656.955749,377879971.03627276,26916998.54923577,74748990.6217199,2289561.837021814
7103367887.694642,377384865.0912463,26910151.492425084,75236926.93575329,2304347.785931917
7103367118.629301,376890408.6561318,26902782.610758808,75724739.13016553,2319129.973641379
7103366349.774639,376396600.86369294,26894902.502556577,76212417.74560714,2333908.1135032456
7103365581.145266,375903440.8481343,26886521.567057744,76699953.51484904,2348681.924692394
7103364812.755494,375410927.74509376,26877650.008141436,77187337.35917376,2363451.1320961737
7103364044.619346,374919060.69163525,26868297.837977145,77674560.38483404,2378215.466207091
7103363276.750556,374427838.826241,26858474.8806071,78161613.87957764,2392974.6630175035
7103362509.16258,373937261.2888047,26848190.775461737,78648489.30923708,2407728.4639162743
7103361741.868595,373447327.2206242,26837454.980809517,79135178.31438309,2422476.6155873653
7103360974.881512,372958035.7643944,26826276.777142264,79621672.7070406,2437218.86991032
7103360208.213973,372469386.0642006,26814665.270497303,80107964.46746609,2451954.9838626073
7103359441.878362,371981377.26551133,26802629.395717528,80594045.74098523,2466684.7194237937
7103358675.886806,371494008.515172,26790177.91965057,81079908.83488953,2481407.8434814997
7103357910.251183,371007278.96139807,26777319.444288213,81565546.21539101,2496124.1277391203
7103357144.983124,370521187.75376856,26764062.409847163,82050950.50463378,2510833.348625265
7103356380.09402,370035734.04321975,26750415.09779228,82536114.4777615,2525535.287204893
